"simulationTime[s]","incidentID","districtName","districtSafetyLevel","distanceOfSummonedPatrol[m]"
15513,1f5c34d5-1762-429e-8b8f-18e7328d6287,Treptow-Köpenick,RatherSafe,"2895,2079884708937"
15569,218bd680-b803-4f97-a35d-b2e585f01a36,Friedrichshain-Kreuzberg,RatherSafe,"714,9826841763045"
15630,f15e9bf3-c134-426a-913f-3d32795759b6,Friedrichshain-Kreuzberg,RatherSafe,"2968,1090887341943"
15773,ef7b2832-7ffd-44a2-9665-c8e9a33da531,Spandau,NotSafe,"2270,5999635602243"
15852,8bbb28c4-ff76-4f14-a09b-e67d169827d5,Reinickendorf,RatherSafe,"2708,940219004156"
16041,1343b35d-c71a-44b2-b41f-27b9dcdc78d8,Friedrichshain-Kreuzberg,RatherSafe,"2175,8572644650753"
16042,1343b35d-c71a-44b2-b41f-27b9dcdc78d8,Friedrichshain-Kreuzberg,RatherSafe,"1430,5031906403324"
16044,1343b35d-c71a-44b2-b41f-27b9dcdc78d8,Friedrichshain-Kreuzberg,RatherSafe,"1317,677315294858"
16045,9221191a-23a4-4421-9042-9f1110bf510b,Spandau,NotSafe,"9022,763199589892"
16152,953a6818-72ba-41aa-8340-cdb6a65dd02d,Pankow,Safe,"2363,0347527628037"
16210,c29ffcf0-b004-459e-bf51-7755dc696ead,Marzahn-Hellersdorf,Safe,"4415,002328572486"
16828,7e0f52c9-5080-46eb-801f-a0aa4876a50e,Friedrichshain-Kreuzberg,RatherSafe,"1645,9065310287535"
16830,7e0f52c9-5080-46eb-801f-a0aa4876a50e,Friedrichshain-Kreuzberg,RatherSafe,"3176,0268978712356"
17000,3e3a70d2-22a4-4816-b676-d345124ac069,Friedrichshain-Kreuzberg,RatherSafe,"2877,621876119603"
17114,7e0f52c9-5080-46eb-801f-a0aa4876a50e,Friedrichshain-Kreuzberg,RatherSafe,"3582,466858699883"
17177,7e0f52c9-5080-46eb-801f-a0aa4876a50e,Friedrichshain-Kreuzberg,RatherSafe,"3490,7575594947034"
17203,7e0f52c9-5080-46eb-801f-a0aa4876a50e,Friedrichshain-Kreuzberg,RatherSafe,"3338,1692148884404"
17358,68cfbe05-5432-49fa-8b17-3b5a4b3e2b42,Pankow,Safe,"3631,4306256582236"
17786,3c68289a-532b-4431-9524-e18b5c7f12e1,Spandau,NotSafe,"2796,1825561291516"
18237,a49f2eb9-e134-47e9-91db-2b7c43b2871f,Neukölln,NotSafe,"2312,0083031264235"
18548,ae6a5aa8-befb-430b-84f3-3fe1f4e59a4c,Marzahn-Hellersdorf,Safe,"3468,7847299426667"
18574,46442855-ab75-418c-8a76-c1f5cacacf18,Treptow-Köpenick,RatherSafe,"2897,710256582296"
18686,60290817-98da-4751-b066-180c02f748c3,Steglitz-Zehlendorf,RatherSafe,"4018,667254696803"
18712,830ad707-1bc3-4098-9db3-0051a87cb330,Spandau,NotSafe,"655,5259073954788"
18714,830ad707-1bc3-4098-9db3-0051a87cb330,Spandau,NotSafe,"3072,5234217523966"
18715,6206ca79-e511-485f-a7d3-9f5ab12559f9,Tempelhof-Schöneberg,NotSafe,"3392,2278910202695"
18754,ce0601fd-b3f0-4f73-955e-7185ec0ed600,Tempelhof-Schöneberg,NotSafe,"1930,6212546745642"
18793,830ad707-1bc3-4098-9db3-0051a87cb330,Spandau,NotSafe,"1147,5895520846937"
18794,c7e567cc-dfe1-4797-a1ee-aec5c3294d93,Friedrichshain-Kreuzberg,RatherSafe,"3138,5157090976372"
18944,20e4a392-e1d7-47d9-80e9-b995a101fa2d,Neukölln,NotSafe,"2112,3634256317196"
18996,2aa30d23-f60c-4d15-9291-6b55ec738be4,Charlottenburg-Wilmersdorf,NotSafe,"3009,762846889486"
19024,6ac82f71-58d1-4e1b-beaa-874818f5a44e,Treptow-Köpenick,RatherSafe,"8104,164831714272"
19056,ab492236-6427-47b9-989f-54e4d2967d8c,Reinickendorf,RatherSafe,"4243,427453192347"
19134,67196ef7-da29-4654-b1f3-8cd15369c5cd,Charlottenburg-Wilmersdorf,NotSafe,"6007,1303782058585"
19186,3d8dca8b-907a-4913-a1b4-af30f40ef6cf,Steglitz-Zehlendorf,RatherSafe,"8806,552304950546"
19393,830ad707-1bc3-4098-9db3-0051a87cb330,Spandau,NotSafe,"3484,5692338375634"
20075,c034afe9-b910-4928-9602-5852ab5af8e0,Reinickendorf,RatherSafe,"2350,466683067027"
20076,068ba899-c071-4ef4-8b85-3d5303d1f24f,Treptow-Köpenick,RatherSafe,"5115,6738737462165"
20078,bddbdb2d-e2fe-44b2-b300-324998d3178b,Charlottenburg-Wilmersdorf,NotSafe,"1581,7109853286051"
20184,7f2ebb06-fcc7-4976-8a08-750b8b5650f9,Mitte,Safe,"1555,3650089587602"
20339,2de0b5ca-003a-47ee-9fa1-79158f9b46ae,Tempelhof-Schöneberg,NotSafe,"5629,128062646643"
20369,f11c5018-b529-4e27-a49a-18b0f0754bf9,Tempelhof-Schöneberg,NotSafe,"1243,3750928890092"
