"simulationTime[s]","incidentID","districtName","districtSafetyLevel","distanceOfSummonedPatrol[m]"
11775,92750666-c862-4387-a141-b3d42c06e3c9,Koszyce,RatherSafe,"1447,1513464574693"
11775,92750666-c862-4387-a141-b3d42c06e3c9,Koszyce,RatherSafe,"1470,398258452416"
11886,29c16e60-bd91-47d4-960c-9512601c07f6,Koszyce,RatherSafe,"423,6227306569457"
11907,a2156e3a-61fa-41ce-aa2e-7eae42a3e4ae,Zielone,RatherSafe,"1151,5684862696417"
11918,159a41c5-29b1-4869-ae00-4b718d82badb,Jasna,RatherSafe,"760,7174981345809"
12196,2f2aaef7-9626-4a7f-acb8-19d16d85e643,Koszyce,RatherSafe,"1071,0632362243907"
12292,2fc55038-4ce8-4bc9-b4b2-9c1cc57a1835,Starówka,RatherSafe,"1066,8590717334682"
12612,524e5370-01f0-45e7-b59e-a6b9d3fc3506,Gumniska-Zab³ocie,RatherSafe,"2183,2283877442833"
12664,a730dd0b-e269-46da-8270-922175ad68e7,Westerplatte,RatherSafe,"692,3129864082858"
12783,fbae4943-8e4b-4d40-b230-f3663bba4f55,Starówka,RatherSafe,"548,2852198415335"
12784,fbae4943-8e4b-4d40-b230-f3663bba4f55,Starówka,RatherSafe,"255,30444074044624"
12784,fbae4943-8e4b-4d40-b230-f3663bba4f55,Starówka,RatherSafe,"529,0659499941816"
12785,fbae4943-8e4b-4d40-b230-f3663bba4f55,Starówka,RatherSafe,"473,3680862730199"
12854,dd55265c-b50d-4352-a690-6578e14e37ce,Strusina,RatherSafe,"230,15406582049485"
12866,afb3be25-753a-4fb3-a338-ea662e695bfb,Legionów Henryka D¹browskiego,RatherSafe,"293,0195202875529"
12889,7e6c4f43-4d74-4e4c-b12e-4ad9207a36c6,Koszyce,RatherSafe,"861,52688493998"
12889,7e6c4f43-4d74-4e4c-b12e-4ad9207a36c6,Koszyce,RatherSafe,"1732,4999572749227"
12890,7e6c4f43-4d74-4e4c-b12e-4ad9207a36c6,Koszyce,RatherSafe,"1456,303369602574"
12890,7e6c4f43-4d74-4e4c-b12e-4ad9207a36c6,Koszyce,RatherSafe,"2129,0868293739286"
12891,7e6c4f43-4d74-4e4c-b12e-4ad9207a36c6,Koszyce,RatherSafe,"2006,6947332019556"
12891,7e6c4f43-4d74-4e4c-b12e-4ad9207a36c6,Koszyce,RatherSafe,"1485,954406480463"
12892,7e6c4f43-4d74-4e4c-b12e-4ad9207a36c6,Koszyce,RatherSafe,"1293,9005114332435"
13013,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,"2020,2061185849186"
13024,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,"3231,213008407298"
13025,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,"3199,4654081752838"
13025,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,"2522,8895352303975"
13026,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,"3546,4048641909935"
13027,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,"3446,117802763702"
13027,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,"3408,397049282723"
13028,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,"2492,830834756292"
13028,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,"2536,536718096442"
13029,e631b442-a18c-44ca-99af-ba0514b8ab87,Legionów Henryka D¹browskiego,RatherSafe,"995,7548884467171"
13083,1fd28a8e-bae6-4bde-92f3-5d49d42cda3c,Strusina,RatherSafe,"2276,585527993151"
